,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
lp__,-48820.0,35343.4,50125.1,60586.1,-119415.0,-40897.7,-40.5089,4.36599,4000.0,0.00909692,3.57599
mu_v_easy,0.641871,0.901201,1.41488,0.210676,-2.17134,1.66541,1.80747,4.96382,4000.0,0.0103426,3.08108
sigma_v_easy,2.32134,0.931724,1.34191,1.64202,0.330521,2.9813,4.1019,4.43931,4000.0,0.00924971,3.29868
mu_v_hard,1.29757,0.756497,1.34653,1.03635,-0.0354653,1.22946,3.54353,5.35385,4000.0,0.0111552,2.06103
sigma_v_hard,0.559346,0.0955865,0.370347,0.390449,0.0323444,0.590011,1.2251,7.82227,4000.0,0.0162984,1.80004
mu_beta_logit,0.759421,0.972045,1.3941,1.63737,-1.40208,0.790487,2.56083,4.80864,4000.0,0.0100192,2.73852
sigma_beta,0.360593,0.18966,0.282597,0.233519,0.0198349,0.176264,0.734905,4.94656,4000.0,0.0103066,2.51665
mu_log_a,0.321,0.326247,0.488174,0.633567,-0.258817,0.271049,1.06157,4.7627,4000.0,0.00992351,2.57877
sigma_a,0.199993,0.0784733,0.119108,0.134666,0.00434677,0.188803,0.376322,5.38522,4000.0,0.0112206,2.13945
mu_log_t,0.158525,0.533941,0.755737,0.97001,-0.791961,0.23954,0.923781,4.51143,4000.0,0.00939996,3.53391
sigma_t,1.5674,1.61613,2.28728,0.410785,0.0614245,0.356879,5.51291,4.63842,4000.0,0.00966457,3.40102
z_v_easy[1],0.737306,0.925131,1.37705,0.36923,-1.62752,1.73709,1.98609,4.43045,4000.0,0.00923124,3.35272
z_v_easy[2],-0.639647,0.296754,0.551614,0.417521,-1.35488,-0.384289,0.170025,9.17912,4000.0,0.0191255,1.85701
z_v_easy[3],0.887551,0.486076,0.807871,0.760687,-0.493777,0.851214,1.82539,5.49987,4000.0,0.0114595,1.97886
z_v_easy[4],-0.0395597,0.425409,0.878537,1.3961,-0.961439,0.180458,1.53786,6.34797,4000.0,0.0132266,1.68666
z_v_easy[5],0.785186,0.477769,0.96821,1.33835,-0.774384,0.891986,2.05516,6.27942,4000.0,0.0130837,1.91946
z_v_easy[6],0.0871238,0.717105,1.14985,1.24068,-1.61388,-0.1644,1.71314,5.11435,4000.0,0.0106562,2.2281
z_v_easy[7],1.39036,0.222682,0.520978,0.60917,0.557159,1.37008,1.94409,9.85296,4000.0,0.0205295,1.73869
z_v_easy[8],-0.606328,0.382584,0.7673,0.824445,-1.35432,-0.612628,1.02488,6.74751,4000.0,0.014059,2.37584
z_v_easy[9],-0.437673,0.409324,0.858811,0.597372,-2.10436,-0.590682,0.506258,8.54387,4000.0,0.0178019,1.42676
z_v_easy[10],0.486497,0.730146,1.19205,0.891469,-2.01118,1.14539,1.74668,4.77092,4000.0,0.00994063,2.66946
z_v_easy[11],-1.01537,0.644859,1.02426,0.512318,-1.96,-1.61448,0.900201,4.68416,4000.0,0.00975987,2.76342
z_v_easy[12],-0.284928,0.373192,0.63437,1.04591,-0.993328,-0.230437,0.475108,5.78696,4000.0,0.0120576,1.86902
z_v_easy[13],0.867005,0.653431,1.09685,1.66585,-0.890848,0.502051,2.6659,5.25952,4000.0,0.0109587,2.24373
z_v_easy[14],0.868608,0.374164,0.616375,0.813039,0.0682822,0.859508,1.73439,5.83893,4000.0,0.0121659,1.85837
z_v_easy[15],-0.378705,0.198547,0.437084,0.346343,-0.835906,-0.371488,0.362546,8.20314,4000.0,0.017092,1.68612
z_v_easy[16],0.49704,0.533384,0.887489,0.512938,-1.06795,0.341009,1.73383,5.94917,4000.0,0.0123956,1.8152
z_v_easy[17],1.01054,0.627274,0.997337,0.23221,-0.682257,1.80905,1.96566,5.11424,4000.0,0.010656,2.2085
z_v_easy[18],-0.346306,0.558762,0.862844,0.910304,-1.22347,-0.609451,0.86681,5.49137,4000.0,0.0114418,2.0387
z_v_easy[19],-0.160294,0.971997,1.50769,1.83983,-1.89893,-0.657963,1.72585,5.0184,4000.0,0.0104563,2.31381
z_v_easy[20],-0.18111,0.807462,1.45405,1.7206,-2.36422,0.0804039,2.20691,5.82863,4000.0,0.0121445,1.91936
z_v_easy[21],-0.130732,0.145093,0.714613,0.824451,-1.33324,-0.287568,1.1993,11.8337,4000.0,0.0246567,1.7933
z_v_easy[22],0.363175,0.465186,0.88213,0.895941,-1.32059,0.65534,1.25973,5.45569,4000.0,0.0113674,2.13557
z_v_hard[1],0.0648483,0.343071,0.582898,0.501122,-0.704037,-0.213007,0.812818,6.18987,4000.0,0.0128971,2.12433
z_v_hard[2],-0.32882,0.379877,0.701523,0.942142,-1.27747,-0.35383,0.630779,8.13701,4000.0,0.0169542,1.44047
z_v_hard[3],-0.37179,0.262169,0.739465,0.714378,-1.21577,-0.455129,1.23601,6.91177,4000.0,0.0144013,1.75383
z_v_hard[4],-0.70329,0.502104,1.03444,1.45448,-2.1848,-0.744737,0.824176,5.09377,4000.0,0.0106133,2.32605
z_v_hard[5],0.275014,0.787148,1.24276,1.92701,-1.68116,0.614723,1.91468,4.74342,4000.0,0.00988334,2.62537
z_v_hard[6],-0.265667,0.711221,1.12103,1.17528,-1.42123,-0.628454,1.28995,5.68091,4000.0,0.0118367,1.91637
z_v_hard[7],-0.111498,0.621869,1.01025,0.582225,-1.59519,0.473832,1.37317,5.71962,4000.0,0.0119173,2.86563
z_v_hard[8],0.21181,0.778989,1.26196,1.92026,-1.29434,0.000873089,1.71223,6.12524,4000.0,0.0127625,1.80536
z_v_hard[9],-0.325572,0.475263,0.909255,1.06316,-1.43561,0.0635738,1.2282,6.80356,4000.0,0.0141758,1.95921
z_v_hard[10],0.565348,0.594117,0.9895,0.418065,-1.23489,0.388441,1.98068,6.01844,4000.0,0.01254,1.85688
z_v_hard[11],0.816251,0.589073,1.06627,0.695688,-1.54041,0.549806,1.99672,5.02778,4000.0,0.0104758,2.24379
z_v_hard[12],-0.622664,0.114361,0.576775,0.155789,-1.24266,-0.726512,0.751397,23.1831,4000.0,0.0483041,2.05139
z_v_hard[13],-0.460281,0.499983,0.91804,1.07156,-1.56374,-0.282672,0.995537,5.28904,4000.0,0.0110202,2.08042
z_v_hard[14],0.355534,0.192229,0.493955,0.606236,-0.318009,0.429454,1.40062,7.55428,4000.0,0.01574,1.85534
z_v_hard[15],0.512205,0.665829,1.04387,1.1018,-1.3144,0.649894,1.94639,4.89173,4000.0,0.0101924,2.42831
z_v_hard[16],-0.110032,0.859702,1.34427,2.27301,-1.66194,-0.128753,1.5838,5.24843,4000.0,0.0109356,2.08569
z_v_hard[17],-0.179581,0.420864,0.722888,0.793158,-1.45776,-0.335734,0.773871,5.06065,4000.0,0.0105443,2.30304
z_v_hard[18],-0.118263,0.518731,0.829724,0.503359,-1.33356,0.168858,0.910891,6.14953,4000.0,0.0128131,1.73718
z_v_hard[19],0.0869017,0.299419,0.54203,0.767113,-0.644367,0.242271,0.871003,6.50663,4000.0,0.0135571,1.7161
z_v_hard[20],-0.127803,0.824789,1.21588,0.599855,-1.39405,-0.989477,2.11416,4.71116,4000.0,0.00981613,2.76489
z_v_hard[21],-0.354585,0.573561,1.03949,0.553612,-1.13336,-0.759929,1.81876,6.42102,4000.0,0.0133788,2.47412
z_v_hard[22],-0.864386,0.718684,1.17967,0.690792,-1.9298,-1.46384,1.57158,4.77261,4000.0,0.00994415,2.55269
z_beta[1],-0.361683,0.595658,0.945909,0.848643,-1.70719,-0.220322,1.16882,5.52449,4000.0,0.0115108,2.17857
z_beta[2],0.635182,0.595462,1.01224,0.731521,-0.741228,1.00699,1.9648,7.74288,4000.0,0.016133,1.61677
z_beta[3],0.0942843,0.593444,0.985921,1.1749,-1.12347,-0.172477,1.37761,5.04026,4000.0,0.0105018,2.31752
z_beta[4],0.322236,0.667409,1.19241,1.4464,-1.53833,-0.200444,1.89551,6.838,4000.0,0.0142476,1.66622
z_beta[5],-0.876379,0.574759,0.984989,1.20267,-2.1854,-1.13542,0.417755,5.6047,4000.0,0.0116779,2.04748
z_beta[6],-0.591923,0.87711,1.41248,1.97479,-2.08736,-0.246746,2.41245,5.14057,4000.0,0.0107108,2.16898
z_beta[7],0.30336,0.71503,1.12926,1.20026,-0.984402,0.0104827,1.91073,4.80446,4000.0,0.0100105,2.59012
z_beta[8],-0.455046,0.801511,1.25055,0.601741,-1.748,-1.34216,1.51023,5.4528,4000.0,0.0113614,2.652
z_beta[9],-0.340732,0.598643,0.994585,0.822829,-1.79099,0.0527891,0.997552,6.53037,4000.0,0.0136066,2.47791
z_beta[10],-0.0623048,0.740236,1.17957,1.34014,-1.4652,-0.364003,1.47799,4.71607,4000.0,0.00982635,2.65868
z_beta[11],-0.158328,0.510424,0.891966,0.724285,-1.57323,-0.358952,1.49081,5.49185,4000.0,0.0114428,1.97897
z_beta[12],-0.380413,0.924617,1.3893,1.48474,-1.99628,-0.865063,1.54869,4.99991,4000.0,0.0104178,2.39579
z_beta[13],0.372481,0.644299,1.02216,0.818009,-0.731802,-0.0411151,1.85795,5.45976,4000.0,0.0113759,2.09174
z_beta[14],0.453104,0.440704,0.758792,0.543027,-0.786558,0.396155,1.47423,6.07813,4000.0,0.0126643,1.77784
z_beta[15],-0.599557,0.453452,0.816184,1.21506,-1.58338,-0.346511,0.884813,5.29341,4000.0,0.0110293,2.11989
z_beta[16],-0.218524,1.00228,1.45506,1.99207,-1.95241,-0.608701,1.95588,4.67927,4000.0,0.00974969,2.70678
z_beta[17],0.226759,0.640972,0.997484,0.585004,-1.29154,0.587472,1.51681,5.90871,4000.0,0.0123113,2.45438
z_beta[18],-0.0330678,0.520671,0.890895,0.933994,-1.11671,-0.283956,1.27046,5.12642,4000.0,0.0106814,2.23189
z_beta[19],0.549841,0.661785,1.08336,0.987354,-0.904497,0.0837949,1.97888,5.07204,4000.0,0.010568,2.25954
z_beta[20],0.122358,0.201521,0.673591,0.875267,-0.964883,0.241113,1.36999,5.85817,4000.0,0.012206,1.90887
z_beta[21],0.30176,0.576419,0.906419,0.798234,-0.747053,-0.208654,1.68238,5.52947,4000.0,0.0115212,2.06967
z_beta[22],0.527961,0.422785,0.777516,0.482198,-1.00694,0.846415,1.26713,5.47598,4000.0,0.0114097,2.24583
z_a[1],-0.632963,0.462512,0.864396,0.901308,-1.61932,-0.628099,1.28875,5.18223,4000.0,0.0107976,2.16201
z_a[2],0.0312198,0.376448,0.7481,0.911564,-0.829038,0.0889353,0.891114,9.0891,4000.0,0.0189379,1.6296
z_a[3],0.251697,0.34243,0.7734,0.468759,-1.47771,0.389978,1.23893,6.78385,4000.0,0.0141348,1.60797
z_a[4],-0.621544,0.480992,0.817841,1.09465,-1.66937,-0.664927,0.637889,5.42172,4000.0,0.0112966,2.04102
z_a[5],-0.961777,0.887285,1.3895,0.069364,-1.96276,-1.82626,1.96017,4.88852,4000.0,0.0101857,2.85206
z_a[6],0.713211,0.471929,0.848358,1.27354,-0.874215,1.07166,1.9826,6.03955,4000.0,0.012584,1.95907
z_a[7],0.377446,0.474624,0.820333,0.775866,-0.50077,0.132559,1.41553,5.88826,4000.0,0.0122687,1.83371
z_a[8],-0.0824449,0.59673,0.995964,0.824426,-1.85803,-0.26923,1.76732,4.85052,4000.0,0.0101065,2.70714
z_a[9],0.805968,0.510409,0.810601,0.922645,-0.773838,0.470555,1.74955,5.30084,4000.0,0.0110448,2.1657
z_a[10],-0.0372244,0.168825,0.620389,0.512142,-0.773164,-0.0271558,1.49109,7.32867,4000.0,0.0152699,1.69634
z_a[11],0.211709,0.933064,1.40645,1.20076,-1.7097,0.76597,1.7218,5.15285,4000.0,0.0107364,2.18147
z_a[12],-0.598969,0.52466,0.827392,0.980032,-1.5516,-0.465408,0.73532,5.02319,4000.0,0.0104663,2.28647
z_a[13],0.506374,0.75092,1.23083,1.22725,-0.627501,0.200333,3.13668,5.61656,4000.0,0.0117026,2.43146
z_a[14],-0.431365,0.775087,1.22375,1.02867,-1.96789,-0.69167,2.13116,4.64534,4000.0,0.00967898,2.75727
z_a[15],-0.0832485,0.196015,0.683337,0.748987,-1.13132,-0.20057,0.964423,5.5294,4000.0,0.011521,1.98088
z_a[16],-0.0622248,0.930304,1.409,2.44818,-1.92758,-0.0557991,1.59555,4.68206,4000.0,0.00975549,2.70139
z_a[17],0.538663,0.549116,0.954249,0.707308,-1.32496,0.466495,1.73551,4.92911,4000.0,0.0102702,2.64252
z_a[18],-0.054035,0.555,0.873809,1.07894,-1.2691,-0.0768863,1.41559,5.43139,4000.0,0.0113168,2.00034
z_a[19],-0.426112,0.504013,0.833495,1.16662,-1.40677,-0.581018,0.579158,6.7361,4000.0,0.0140353,1.61615
z_a[20],-0.346621,0.405162,0.852392,0.0358056,-1.40654,-0.701207,1.35001,7.53828,4000.0,0.0157067,2.44171
z_a[21],-0.353546,0.425311,1.08001,1.10567,-2.62131,-0.151245,1.50281,6.29757,4000.0,0.0131215,1.71423
z_a[22],-0.0964525,0.533113,1.12905,1.41989,-1.68824,-0.437666,1.9304,5.34832,4000.0,0.0111437,2.35964
z_t[1],-0.142232,0.615136,0.889813,1.53289,-1.43616,-0.0372218,0.996763,4.50317,4000.0,0.00938276,3.09852
z_t[2],-0.0157631,0.88851,1.32541,1.72051,-2.06947,-0.486665,1.77621,4.85787,4000.0,0.0101218,3.13728
z_t[3],0.490503,1.0969,1.56491,1.80508,-1.18203,0.0354668,2.54483,4.60875,4000.0,0.00960273,2.85709
z_t[4],-0.972805,0.480953,0.808964,0.897162,-2.12925,-1.12643,0.718826,4.648,4000.0,0.00968453,2.77849
z_t[5],-0.850788,0.539117,0.853466,0.678834,-1.78506,-1.32718,0.562874,4.92972,4000.0,0.0102715,2.40389
z_t[6],-0.85357,0.518999,0.838939,0.613183,-1.7285,-1.00761,1.05475,4.62074,4000.0,0.00962773,2.83797
z_t[7],-0.126373,0.786308,1.1322,1.01103,-1.46079,-0.209556,1.65238,4.52595,4000.0,0.00943023,3.00775
z_t[8],0.767714,0.404396,0.725034,0.294883,-0.659853,1.01822,1.64557,5.08317,4000.0,0.0105912,2.61672
z_t[9],-0.067164,0.29764,0.581853,0.366574,-0.768755,0.110174,0.75649,6.73956,4000.0,0.0140425,1.89538
z_t[10],-0.424436,0.538137,0.879955,0.193037,-1.19763,-1.06744,1.17036,4.98901,4000.0,0.010395,2.41826
z_t[11],0.407023,0.416961,0.668165,0.817918,-0.56444,0.661656,1.21334,5.989,4000.0,0.0124786,2.10241
z_t[12],0.502719,0.826235,1.35737,1.24234,-1.35413,0.830092,2.72917,4.69173,4000.0,0.00977564,2.72635
z_t[13],0.131705,0.77736,1.12924,1.53997,-1.32372,-0.484041,1.77158,5.00032,4000.0,0.0104186,2.35574
z_t[14],-0.50925,0.847205,1.24757,0.281655,-1.59016,-1.40019,1.53872,5.18854,4000.0,0.0108108,2.80604
z_t[15],-0.169527,0.71443,1.07858,0.307725,-1.16336,-0.823104,1.50914,5.25202,4000.0,0.0109431,2.59188
z_t[16],-0.420796,0.360452,0.72365,0.155835,-1.60571,-0.517635,1.11908,6.82235,4000.0,0.014215,2.36629
z_t[17],-0.376512,0.687714,1.04156,1.07759,-1.62893,-0.72349,1.1128,4.73546,4000.0,0.00986675,2.62611
z_t[18],0.700983,0.538939,0.872947,0.728054,-0.559896,0.287039,1.90712,5.39414,4000.0,0.0112392,2.02054
z_t[19],0.0511896,0.676805,0.977196,1.22799,-1.64951,0.323249,1.2188,4.486,4000.0,0.00934698,3.42905
z_t[20],-0.230472,0.899113,1.28818,0.429602,-1.43863,-0.851303,1.93713,5.03393,4000.0,0.0104886,2.26339
z_t[21],-0.00442089,0.595862,0.975025,0.693678,-1.27235,0.32465,1.30702,5.33155,4000.0,0.0111088,2.09765
z_t[22],1.18671,0.307188,0.470768,0.662909,0.579385,1.15689,1.69544,5.64882,4000.0,0.0117698,1.89571
v_easy[1],3.76451,3.63149,5.22473,6.44626,-4.13436,5.46593,9.81215,4.41538,4000.0,0.00919984,3.34564
v_easy[2],-1.26839,1.27388,1.93691,2.2228,-3.90667,-0.812264,0.687096,5.36723,4000.0,0.0111831,2.04108
v_easy[3],3.02076,1.97732,2.95256,4.90843,-1.08447,3.62972,7.27977,4.66755,4000.0,0.00972526,2.68976
